"hash","name","cty","age","rank_1","rank_2","rank_3","rank_4","score_1","score_2","score_3","score_4"
"e637a63dc4dfae25a1301d92b3ee1339","ROBBY MCCORD","US","45","4","24","16","7","216 reps","295 reps","12:45","45 reps"
"0c478a0d9c916d67c503a02340152345","JASON GRUBB","US","48","10","33","4","6","207 reps","291 reps","11:15","45 reps"
"fa853930c44863b00e3cc6bbd0f06ca7","NUNO COSTA","US","45","37","9","11","15","194 reps","19:38","12:03","42 reps"
"5f40d3a22b5aa93f76c0f723734a7567","ROBBIE PEROVICH","CA","47","3","53","2","31","218 reps","284 reps","11:02","40 reps"
"94dde3ba6dd265380cbfc4b8706436ec","CAINE HAYES","AU","45","2","24","19","53","221 reps","295 reps","12:53","38 reps"
"f7b5e3a6adf7aeb34f05b45d2b4a1110","RYAN RETTKE","US","46","21","53","34","8","200 reps","284 reps","13:59","44 reps"
"0d17e26097002ca6ec673bce91b5921c","HEATH MOODY","US","45","40","30","52","2","193 reps","292 reps","14:43","48 reps"
"9579c70f5edc984b981981e131c3fe96","RICHARD VINT","GB","45","1","3","43","93","222 reps","18:33","14:30","36 reps"
"9eb100e11d094ea057c773361572fb16","JAMES BOSMA","AU","47","5","18","20","106","215 reps","297 reps","12:54","36 reps"
"ab582a91fda6ceb6cc2bc044592116a1","DAVID JOHNSTON","US","46","30","125","5","17","196 reps","274 reps","11:37","42 reps"
"ee8086892840770a84f3bdb01ff71dc0","VLAD LIA","BY","47","56","68","31","32","189 reps","281 reps","13:51","40 reps"
"a37398459a731dbe8c257bd8e920c06e","MIKE KERN","US","48","13","93","71","11","206 reps","277 reps","148 reps","43 reps"
"2601e25cf2ef1f37c34a6e43457c596e","ALEX O'BRYAN","US","45","24","161","7","1","199 reps","270 reps","11:40","48 reps"
"697adeb608332fd42351cee998c895f3","GERAR GARCIA","ES","46","16","39","26","116","203 reps","288 reps","13:30","35 reps"
"d4f86e41663a3a6ad462a082d949685c","CHRISTOPHER ANDERSON","US","46","62","1","1","151","188 reps","18:18","9:39","34 reps"
"a52a5966a4266fc96fa4289e03b9718f","ANDREA DI SALVATORE","IT","46","5","34","21","163","215 reps","290 reps","13:10","34 reps"
"c50931a23b765dcb4b9443858296bc83","STEPHEN VASSALLO","US","47","21","15","25","193","200 reps","19:54","13:28","33 reps"
"7f986fc6f1e899f4c7da74073a1a3e0c","JESPER BOJER LARSEN","DK","45","24","39","152","46","199 reps","288 reps","140 reps","38 reps"
"4ad6b39bbe55fe8a85b2d70fbde21cd7","MARCELO RIELA","BR","46","138","74","3","47","179 reps","280 reps","11:09","38 reps"
"447c4749f85ea2734fc7162087018abf","MARTIN DAOUST","CA","45","15","4","37","211","204 reps","18:39","14:03","33 reps"
"2c757018a92324cbe362af47e5ba93cd","DAVID CROSSON","US","45","30","102","94","49","196 reps","276 reps","145 reps","38 reps"
"7ff93da355f3737fc07046d651f95f8e","CHRISTOPHER KABLE","AU","45","62","21","58","163","188 reps","296 reps","14:52","34 reps"
"5531bc2b4cbabfad11a9d15696274b1e","SPENCER WHITELEY","GB","46","217","42","13","36","174 reps","287 reps","12:18","39 reps"
"8711258e2ab0d86cad1db9365e901f13","EDMILSON QUEIROZ","BR","46","13","2","141","173","206 reps","18:30","141 reps","34 reps"
"be2f62d0db214852ae95d4333536e087","ALVIN LUNZ","US","45","42","74","207","26","192 reps","280 reps","137 reps","41 reps"
"f5d06d82159eb669fde485cf6f9c524e","JIM GAY","US","46","62","42","135","128","188 reps","287 reps","141 reps","35 reps"
"20038241ab9ebb32ede34eaec6974090","OLIVIER MONGRAIN","CA","45","52","102","160","53","190 reps","276 reps","140 reps","38 reps"
