"hash","name","cty","age","rank_1","rank_2","rank_3","rank_4","score_1","score_2","score_3","score_4"
"903523a901d5560f3b2d8c183ee82499","BRONISLAW OLENKOWICZ","PL","35","2","12","3","1","246 reps","17:42","8:07","61 reps"
"b33d96aec6ee99731fa5bd42100664e6","WILL MOORAD","US","35","17","3","1","21","222 reps","16:50","7:44","52 reps"
"e7c7f0d51ac3f2cf1dc7b16fe9310b9e","SERGEY KRYS","UA","39","32","2","14","3","216 reps","16:46","9:15","57 reps"
"d54768724302e9f49266b5ae61e27cf1","NICHOLAS ANAPOLSKY","CA","35","9","22","4","33","228 reps","17:56","8:22","51 reps"
"399910a36ca608f13d35a7c1f1d60e6e","RUAN DUVENAGE","ZA","35","23","10","49","17","220 reps","17:41","10:19","53 reps"
"ad2929582e63354eab14d655da45d807","SAM DANCER","US","37","1","13","85","2","249 reps","17:43","11:11","59 reps"
"a94a030d0c9e6498445a897a2607b151","ANDREA BARBOTTI","IT","35","32","6","12","64","216 reps","17:12","9:05","49 reps"
"c8edce74ce55068cf4af4c5f9a985aa2","STEPHANE COSSETTE","CA","35","10","75","28","10","227 reps","18:54","9:45","54 reps"
"75f1a2237bdbe692d3f87c7a4d00a542","GARY JONES","US","35","7","67","55","31","229 reps","18:51","10:26","51 reps"
"04bcc345cb19810cfcb9baa09e6ec41d","CHASE SMITH","US","35","123","20","9","13","205 reps","17:55","8:56","53 reps"
"f526f2a4dea36914f02efdcbb5ea7168","WILL KANE","GB","37","30","44","25","72","217 reps","18:30","9:41","48 reps"
"9b1b1368baf14c948c0f01d81d6bef55","IVAN VERDUN","AR","36","94","19","7","52","208 reps","17:52","8:42","50 reps"
"95eb59ec972a82a6bd9ed6c6d6299cbe","MITCH WAGNER","US","35","61","55","35","49","212 reps","18:41","9:51","50 reps"
"393e50f21bcbc4cf8c889e2132dcaaf1","MIKE EGAN","CA","35","53","58","77","23","213 reps","18:44","11:02","52 reps"
"aefb033ac1ce0440c2fdcb62ce4ae91d","KYLE CANT","CA","35","134","45","27","7","204 reps","18:32","9:43","55 reps"
"671757d4919e3b8164aa216514c693d0","ROBERT FORTE","AU","37","23","97","36","61","220 reps","19:10","9:54","49 reps"
"b5b74d3e55e35a56ad11a37bc5b8714c","NICK ROBERTS","US","37","65","36","70","48","211 reps","18:17","10:58","50 reps"
"0f5574c4f11040c226d6368a60c4fdf1","JULIEN LOPEZ","FR","37","47","17","17","146","214 reps","17:51","9:21","45 reps"
"d7ba8bde5991295a3ceac2664a925579","FREDERIK AEGIDIUS","DK","37","53","8","49","122","213 reps","17:19","10:19","46 reps"
"00552dcdb11c8ba268ce9d2e48877cca","ADAM MANSY","AU","37","61","149","15","9","212 reps","19:37","9:20","54 reps"
"f9e7b018a389271476e6bac1872cd264","PIOTR MIELCZAREK","PL","36","53","109","28","60","213 reps","19:20","9:45","49 reps"
"e7b1952072ffbdec6332b212cd720b91","PAUL TREMBLAY","CA","37","123","33","96","8","205 reps","18:12","11:21","55 reps"
"17de1860de044c414082ec50abd1d868","CHRIS PARILLO","CA","37","65","73","61","106","211 reps","18:53","10:45","47 reps"
"1a48728a38cf462bba536f179c0cf42d","ANTHONY VORACHAK","US","35","83","149","22","58","209 reps","19:37","9:38","50 reps"
"e25d6008fc1c41807039f32d5c21f844","JUSTIN LEE","US","35","47","83","160","37","214 reps","19:03","12:14","51 reps"
"655b02c6adc63fe6b1f023f3d5d6e595","JOHANN VAN ZYL","AU","39","14","191","74","62","223 reps","19:50","11:01","49 reps"
"3bd86ec50279c4f20553e437e309ac14","DENE FLUDE","NZ","35","179","24","96","46","201 reps","17:58","11:21","50 reps"
"4be382a528c556b8571cd4a6eee7fc16","LARS KRISTENSEN","AU","37","94","115","38","112","208 reps","19:22","9:56","46 reps"
"ed26cd76ed8ace9d110854b80ae4d588","HENRY MATTHEWS","US","35","162","169","11","18","202 reps","19:44","9:00","53 reps"
"41e571e877ebd43f6bec79d005ac9d17","YVES-ERIC PILOTE","CA","35","28","47","67","222","218 reps","18:33","10:56","43 reps"
"7446c8e45f23f4b93de701cedafa0f6c","JAVI BUSTOS MURILLO","ES","38","123","28","22","219","205 reps","18:05","9:38","43 reps"
"f315794a378d1c36b9e7f7b1fd1bd8a3","CLINT KOHL","FR","35","53","126","117","98","213 reps","19:27","11:43","47 reps"
"86dd37f71b17f7f56bb9a8c7e4a1c1ae","MAURO CORRIGA","IT","36","102","1","226","67","207 reps","16:38","12:58","49 reps"
"6215923b53353cbf350c839c7ef9a41b","SANTIAGO FICCADENTI","AR","35","162","37","24","175","202 reps","18:21","9:39","44 reps"
"2c9465709250042fbefc068e6e17ca01","STEFANO MIGLIORINI","IT","35","65","5","5","324","211 reps","17:08","8:31","41 reps"
"9ceee73fadce42d5a648432eb95d565f","JAYSON LUCAS","CA","37","83","63","228","29","209 reps","18:48","12:59","51 reps"
"d10548e4f6a75de0aca0615e034a8f67","BRANDON PASTOREK","US","39","47","229","102","36","214 reps","299 reps","11:29","51 reps"
"37e311e55eeb0df1a965eb7988c2a943","CARLOS ALBALADEJO","KR","36","249","51","31","84","197 reps","18:39","9:46","48 reps"
"8240b00dd0e109542e1b4e7ab210b552","MARIO WALERIEW","BG","37","61","210","85","63","212 reps","19:55","11:11","49 reps"
"04368b4f5752d6634e8432c20282d607","KEVIN SCHUETZ","US","37","14","320","21","79","223 reps","292 reps","9:35","48 reps"
"c1711f5f1c8f463a5b693384a081cc84","BLAS RUIZ GONZALEZ","ES","36","217","31","94","96","199 reps","18:08","11:20","47 reps"
"3e5488e8cc9df5af32311dc33ed73450","CHASE HILL","US","35","217","9","6","227","199 reps","17:21","8:39","43 reps"
"13448c3cbe0e88531ddbce19e3071ee6","JOHN BIRKMEIER","US","36","74","229","60","117","210 reps","299 reps","10:41","46 reps"
"8c97a69a1806445556336b32ec3fa4ae","MICHAEL HERNANDEZ","US","35","331","49","9","93","193 reps","18:38","8:56","47 reps"
"c067f8b4b35bd64e2a68328c0c844e29","TRAVIS FLANNIGAN","US","37","38","191","158","97","215 reps","19:50","12:13","47 reps"
"6f1f525d8c479824b2a3193b0db4798d","CAIO MOYSES","BR","36","113","181","90","103","206 reps","19:47","11:14","47 reps"
"a66126dae9282a1fe653e1b972bbd8b2","DOMINICK MAURICI","US","35","162","16","70","242","202 reps","17:48","10:58","43 reps"
"942acea4beb7c1119306f7f0fcdc465f","JUSTIN ROWDEN","US","35","146","98","131","117","203 reps","19:12","11:55","46 reps"
"57dd2e1e72a172f3c370e74160d5019e","JUSTIN AHRENS","US","37","102","94","135","175","207 reps","19:08","11:58","44 reps"
"69fa6fe8021ea71f3a491f9d974502e8","AARON HANNA","US","35","179","204","111","15","201 reps","19:54","11:39","53 reps"
"5399d4e3da2a964ee4b09b64c15f75bf","GARY HELMICK","US","36","134","51","32","293","204 reps","18:39","9:48","42 reps"
"4e1c3ec77f0e267bb37b15d4757f5966","DEREK SALTOU","US","35","198","60","64","194","200 reps","18:46","10:51","44 reps"
"d65f191b60e866d69f0e3f92c6d54e26","ALAN FOULIS","ZA","38","30","173","283","38","217 reps","19:45","13:35","51 reps"
"d6c82b79cb1170519177175e53d24d47","CRAIG KENNEY","US","37","65","244","73","144","211 reps","297 reps","11:00","45 reps"
"8ef667876fa38e10f8c772123865276b","ALEXIS ROMERO","FR","36","123","7","81","317","205 reps","17:17","11:03","41 reps"
"7dfcbe7eac1d0e46e655374acba1020d","BLAKE SAMA","US","35","113","32","114","270","206 reps","18:10","11:41","42 reps"
"45b442d6ed809651d1a13da8fb62d0ad","SEBASTIAN CALABRO","AR","36","276","167","28","71","195 reps","19:43","9:45","48 reps"
"2ffcdc128f788f91682e78e4202209fe","ADAM VINSON","US","36","47","362","143","4","214 reps","290 reps","12:01","55 reps"
"35ef718749f95c3d3e5e89a2fc44fd9b","HUDSON FRICKE","US","35","14","514","15","16","223 reps","284 reps","9:20","53 reps"
"d94d5b01820393d4ca87c713ab456d74","TREVOR TURNER","CA","36","74","254","137","94","210 reps","296 reps","11:59","47 reps"
"60df9805df1fb9de2dd26ec7b7f53b4c","SIMON PAQUETTE","CA","35","123","145","195","99","205 reps","19:35","12:41","47 reps"
"0df1761d3efa76490129356d011c9754","TAYLOR NAGEL","US","35","276","104","98","85","195 reps","19:18","11:26","48 reps"
"0c92a5db4e28a3ab40fa1ef3eff0299c","DAVID KALLEBÄCK","SE","35","5","153","258","160","232 reps","19:38","13:19","45 reps"
"5131252bfd310e9ef4926168636fe41e","SHANE LLOYD","CA","38","65","244","236","46","211 reps","297 reps","13:04","50 reps"
"714466625a4c516d73b9b5b79c0197e2","GREGORY LEWIS","AU","36","17","28","83","472","222 reps","18:05","11:06","39 reps"
"de0f88438e760e08cd2147195cac6b55","PRESTON SOECHTING","US","39","123","292","48","145","205 reps","293 reps","10:15","45 reps"
"161bacf3d05120162cb1aa6c3cb2b31e","CHRIS HOGAN","AU","38","113","185","101","212","206 reps","19:48","11:27","43 reps"
"cc2df60a9d3ee7dcb2eecea684a1c00f","MATTHEW SHORROCK","US","37","74","196","321","34","210 reps","19:52","13:51","51 reps"
"367d55fc904f7218f1a2c92ef1f57df0","MICHAEL FRENCH","US","36","162","229","112","126","202 reps","299 reps","11:40","46 reps"
"a37f12ffe0a383afe16d5af5b77e0e6a","DANIEL VILLAR","UY","36","113","229","39","257","206 reps","299 reps","9:58","42 reps"
"cec47e9976d0457014614c70cdd34e45","MATTHEW SHERBURNE","US","36","74","139","310","119","210 reps","19:32","13:46","46 reps"
"8bce416f6f9c2ea95637404b8b605a13","COREY ALLEN","AU","35","217","64","56","311","199 reps","18:49","10:31","41 reps"
"c0135255384bc94d23474938b9890bc2","DOBROMIR KARKOSZKA","DE","35","74","137","391","55","210 reps","19:31","14:22","50 reps"
"7ad77bcec20ce55b78cf1c5f805c603f","JONATHAN GIBBONS","CA","36","32","335","135","162","216 reps","291 reps","11:58","45 reps"
"27814b572975cb4005c92a850b907a90","DUSTY SULON","US","39","134","25","26","484","204 reps","17:59","9:42","39 reps"
"cc5a921c90d6c04555dcb3a69b82c08f","NICHOLAS SHAFER","US","36","74","87","428","89","210 reps","19:04","14:37","48 reps"
"81198577b9230df4ab7cbf06512df5e3","CHRISTIAN HARRIS","US","37","113","45","234","296","206 reps","18:32","13:03","42 reps"
"d57da3597456072641b0e61dea728fbb","PIOTR RIABYCH","LT","36","179","218","223","77","201 reps","19:57","12:54","48 reps"
"918758e421d4de3e8b84746868f9d3a2","MIKE HOLMES","GB","38","38","214","193","266","215 reps","19:56","12:40","42 reps"
"37fc69023179d2bb4c9f04cece3e0cfe","RYAN SMITH","US","38","83","130","163","340","209 reps","19:29","12:16","41 reps"
"3180eaa93e18d2c117d84b5dabb16673","LINAS PAULIKAS","LT","39","123","204","88","302","205 reps","19:54","11:12","42 reps"
"2a26b0717bdbfd643a14945962fc161d","ANTHONY VAZQUEZ","US","35","263","181","199","79","196 reps","19:47","12:44","48 reps"
"5121c176c741aea22ea44eb3ede40232","DAVID SYVERTSEN","US","38","53","335","143","205","213 reps","291 reps","12:01","43 reps"
